number,generation,index_within_generation,parent,r_coord,theta_coord,weight
6174,1,1,6174,123.45,0,99.9
4176,2,165,6174,173.84,151.875,36.97
8352,2,341,6174,169.64000000000001,314.0625,34.87
6264,3,361,4176,96.51,246.25,29.77
3996,4,983,6264,78.75,148.75,24.490000000000002
8532,2,349,6174,148.4,321.5625,24.25
3087,3,183,8352,82.65,136.875,23.89
6354,4,1485,3087,63.75,234.64285714285714,19.93
8082,3,458,8532,63.15,243.75,19.45
7443,5,935,3996,56.43,290.45454545454544,15.97
1998,4,515,8082,48.11,105.0,14.33
8172,6,1235,7443,43.83,280.0,13.93
7173,5,906,6354,46.83,256.875,13.450000000000001
5355,5,669,1998,37.87,184.5,11.77
5994,6,901,5355,27.310000000000002,222.0,7.7700000000000005
7992,6,1198,7173,28.67,287.0,7.61
5265,5,663,3996,36.27,190.9090909090909,5.89
5085,7,842,7992,17.23,181.95652173913044,4.8100000000000005
6084,7,1007,8172,23.55,211.25,4.8100000000000005
4086,7,672,8172,22.59,153.75,4.33
7083,3,399,8352,43.53,226.875,4.33
5175,7,852,5994,14.99,183.97058823529412,3.61
9621,3,555,8352,41.49,346.875,3.31
7263,6,1092,5265,11.67,276.0,2.89
4995,6,757,5355,17.39,177.0,2.81
6993,4,1635,6264,34.59,257.5,2.41
8262,5,1035,6354,24.75,298.125,2.41
2997,6,478,7173,17.95,119.0,2.25
7353,3,410,4176,41.31,283.75,2.17
2088,3,137,8532,28.11,135.0,1.93
9081,4,2157,9621,7.17,277.5,1.93
8991,4,2120,8082,22.990000000000002,310.7142857142857,1.77
3177,5,405,6354,23.31,112.5,1.69
9171,3,529,8532,27.63,315.0,1.69
4266,3,250,4176,39.87,141.25,1.45
9261,3,537,8352,37.77,330.0,1.45
8442,7,1412,5994,10.67,317.6470588235294,1.45
9351,7,1556,8172,16.35,333.75,1.21
6444,5,804,1998,16.27,225.0,0.97
9441,7,1569,7992,9.55,338.4782608695652,0.97
1089,4,299,9621,5.01,112.5,0.85
999,5,147,8991,3.23,93.46153846153847,0.73
7533,3,420,4176,38.43,293.75,0.73
9531,7,1584,8172,15.39,342.5,0.73
2178,6,337,7443,16.95,92.5,0.49
8622,5,1067,6354,20.91,318.75,0.49
3267,6,512,5265,6.75,94.5,0.43
4356,4,1073,3087,24.63,148.92857142857142,0.37
5445,5,678,1089,1.47,180.0,0.31
6534,4,1518,3087,24.39,244.28571428571428,0.25
9711,3,558,8532,24.75,341.25,0.25
7623,6,1152,5265,6.2700000000000005,295.5,0.19
8712,6,1332,7443,16.23,307.5,0.13
0,1,0,0,0.0,0,0.1
9801,4,2349,9621,3.45,330.0,0.07
1,6,0,999,0.75,0.0,0.01
2,5,0,1998,14.35,0.0,0.01
3,7,0,2997,2.27,0.0,0.01
4,5,1,3996,24.51,0.0,0.01
5,7,1,4995,2.83,0.0,0.01
6,7,2,5994,7.79,0.0,0.01
